策略,年化,夏普,胜率,最大回撤
预测20日+PP>0.3+持仓4只+无,37.46303416297538,1.6373797906217031,72.72727272727273,-14.417611505172346
预测20日+PP>0.3+持仓4只,37.46303416297538,1.6373797906217031,72.72727272727273,-14.417611505172346
预测20日+PP>0.25+持仓4只+70,58.53883925994485,1.542249319158328,72.72727272727273,-15.8019988935979
预测20日+PP>0.25+持仓4只+无,54.23899730238018,1.520208364161502,72.72727272727273,-15.803431904470733
预测20日+PP>0.25+持仓4只,54.23899730238018,1.520208364161502,72.72727272727273,-15.803431904470733
预测20日+PP>0.25+持仓4只+60,56.268636631992464,1.501057309831946,63.63636363636363,-11.466166435898572
预测20日+PP>0.3+持仓4只+70,49.71567572604325,1.3152019200903318,72.72727272727273,-14.463621622803979
预测20日+PP>0.35+持仓4只+无,26.607271167260404,1.312490160981091,63.63636363636363,-18.112404086430033
预测20日+PP>0.35+持仓4只,26.607271167260404,1.312490160981091,63.63636363636363,-18.112404086430033
预测20日+PP>0.25+持仓8只,36.46503440994449,1.2783532428605981,54.54545454545454,-13.403711548170072
预测20日+PP>0.2+持仓4只,38.34766348220076,1.277727880819949,63.63636363636363,-15.80336231605768
预测20日+PP>0.35+持仓8只,33.73588039167208,1.2038959568077126,45.45454545454545,-18.095038427904697
预测20日+PP>0.3+持仓4只+60,43.29612046679561,1.1520242491449888,63.63636363636363,-11.705881521494256
预测20日+PP>0.25+持仓12只,30.63935781314855,1.1404427894105995,63.63636363636363,-13.832019091294011
预测20日+PP>0.25+持仓20只,18.003211088947445,1.1032391720024832,63.63636363636363,-14.134449381628599
预测20日+PP>0.2+持仓8只,26.83771889856368,1.0823457806927836,45.45454545454545,-20.46888260937687
预测20日+PP>0.35+持仓4只+70,30.313912413697008,1.0815142428932312,72.72727272727273,-16.110756639848912
预测20日+PP>0.35+持仓12只,23.73211065009404,1.0547075313784366,63.63636363636363,-16.329391294509342
预测20日+PP>0.3+持仓8只,24.957840168843127,1.0446927012022165,45.45454545454545,-19.683304311552654
预测20日+PP>0.25+持仓4只+50,36.04541996457205,1.024415707654444,63.63636363636363,-15.031686507995424
预测20日+PP>0.35+持仓4只+60,25.1428808246567,1.0137367680338478,63.63636363636363,-14.377314360867988
预测20日+PP>0.3+持仓12只,23.097089410569428,1.0128815815010037,63.63636363636363,-17.44376096560558
预测20日+PP>0.2+持仓20只,22.32563097929674,0.9908309305848991,54.54545454545454,-14.705546614955988
预测20日+PP>0.35+持仓20只,13.910654104610988,0.9761114842880384,63.63636363636363,-16.663903869990037
预测20日+PP>0.35+持仓4只+50,11.917322234656513,0.9626499061229351,63.63636363636363,-14.97835480091213
预测20日+PP>0.2+持仓12只,19.706150624102857,0.9010560943321755,54.54545454545454,-17.139688143028053
预测20日+PP>0.3+持仓20只,9.192510058625114,0.7604351728574161,54.54545454545454,-22.86292537392076
预测20日+PP>0.3+持仓4只+50,12.042148883690773,0.6439517104050012,54.54545454545454,-15.00684108309417
