conditions,cond_str,rebalance_days,top_n,total_ret,annual_ret,sharpe,sortino,win_rate,max_drawdown,n_trades,avg_ret
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,5,10,38304507011.08168,21.372693936112736,11.705958470752769,0.0,1.0,0.0,72,0.4240613876212845
"[('volatility', '>', 0.03)]",volatility > 0.03,5,10,39541659087.69048,21.535186532474885,11.21143057594554,970.6262450832178,0.9722222222222222,-0.02195580061574831,72,0.4272854470729144
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,5,20,354717212.6676309,16.63900286158766,11.020752062224323,0.0,0.9861111111111112,0.0,72,0.3301389456664218
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,5,10,1947119512.283702,18.35978973814649,10.932212988340297,0.0,1.0,0.0,72,0.36428154242354144
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,5,10,1073224413.4787098,17.79095735358089,10.7384697151952,0.0,0.9861111111111112,0.0,72,0.35299518558692244
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,5,10,2125662023.3880565,18.521455280343705,10.618777536855845,0.0,0.9861111111111112,0.0,72,0.3674891920703116
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,5,10,2125662023.3880565,18.521455280343705,10.618777536855845,0.0,0.9861111111111112,0.0,72,0.3674891920703116
"[('volatility', '>', 0.03)]",volatility > 0.03,5,20,227276508.08907047,16.349795597325933,10.31513065897659,67.47782795430187,0.9583333333333334,-0.1460232470256254,72,0.3244007062961495
"[('vol_ratio', '>', 0.8)]",vol_ratio > 0.8,5,30,25556079.892697413,14.159926909989771,10.223450735492777,0.0,0.9861111111111112,0.0,72,0.2809509307537653
"[('vol_ratio_5', '>', 1.0)]",vol_ratio_5 > 1.0,5,20,20183446.881025452,13.934102102571341,10.172225759334761,0.0,0.9861111111111112,0.0,72,0.27647027981292344
"[('vol_ratio', '>', 0.8), ('volatility', '>', 0.03)]",vol_ratio > 0.8 AND volatility > 0.03,5,10,709442984.9927769,17.525024427098867,10.169069237069724,81.07798998409828,0.9583333333333334,-0.0602332093718605,72,0.347718738632914
"[('vol_ratio', '>', 0.8), ('vol_ratio_5', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio_5 > 1.0,5,20,10596042.399339676,13.369108444172914,9.792529531941229,0.0,0.9861111111111112,0.0,72,0.26526008817803404
"[('vol_ratio', '>', 1.0)]",vol_ratio > 1.0,5,20,20239538.860918038,14.019065675310456,9.65465162351761,0.0,0.9861111111111112,0.0,72,0.27815606498631856
"[('vol_ratio', '>', 0.8), ('vol_ratio', '>', 1.0)]",vol_ratio > 0.8 AND vol_ratio > 1.0,5,20,20239538.860918038,14.019065675310456,9.65465162351761,0.0,0.9861111111111112,0.0,72,0.27815606498631856
